libID	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
AR153	5290238438	5263647629		2847775299.0	1511530700.0	498618206.0	405723424.0	0.0	0.0	0.0	7700655.0	7784542.0	74689.0	0.497291	0.502709		0.541027	0.287164	0.094729	0.07708	0.828191	0.824028	0.0	0.505244	0.147555	0.170199	0.729547			
AR22	5954380606	5924511557		3290713574.0	1538879090.0	656351979.0	438566914.0	0.0	0.0	0.0	8633303.0	8516970.0	98448.0	0.503392	0.496608		0.55544	0.259748	0.110786	0.074026	0.815188	0.811099	0.0	0.46635	0.201455	0.118628	1.518488			
AR54	7922573008	7877245590		4804121048.0	2128971759.0	497907684.0	446245099.0	0.0	0.0	0.0	12315732.0	12299799.0	117077.0	0.500324	0.499676		0.609873	0.270269	0.063208	0.05665	0.880142	0.875106	0.0	0.493216	0.194347	0.135414	1.267209			
AR17	5369682785	5343922903		3000451395.0	1404836042.0	563674181.0	374961285.0	0.0	0.0	0.0	7855911.0	7754779.0	80314.0	0.503239	0.496761		0.56147	0.262885	0.105479	0.070166	0.824355	0.8204	0.0	0.461974	0.19583	0.113182	1.661754			
AR4	5682799785	5654724005		3250228491.0	1325074863.0	687712498.0	391708153.0	0.0	0.0	0.0	8163764.0	8081515.0	91723.0	0.502531	0.497469		0.574781	0.234331	0.121617	0.069271	0.809112	0.805114	0.0	0.472888	0.190405	0.115084	1.511386			
AR157	5600176472	5570919868		3088299779.0	1622464772.0	482729474.0	377425843.0	0.0	0.0	0.0	8423379.0	8286012.0	94828.0	0.50411	0.49589		0.554361	0.291238	0.086652	0.067749	0.845599	0.841181	0.0	0.451938	0.219001	0.23495	0.821415			
AR132	4851123238	4824118694		2612177372.0	1325247819.0	566763216.0	319930287.0	0.0	0.0	0.0	7039756.0	6989933.0	79301.0	0.501776	0.498224		0.541483	0.274713	0.117485	0.066319	0.816196	0.811652	0.0	0.417388	0.209677	0.266349	0.791921			
AR34	5435772015	5403965235		2808391379.0	1491034238.0	715703812.0	388835806.0	0.0	0.0	0.0	7663498.0	7750224.0	75595.0	0.497187	0.502813		0.519691	0.275915	0.13244	0.071954	0.795606	0.79095	0.0	0.499585	0.122028	0.148045	0.742617			
AR25	5021451846	4996393248		2719411026.0	1306365824.0	564208468.0	406407930.0	0.0	0.0	0.0	7191220.0	7113864.0	78291.0	0.502704	0.497296		0.544275	0.261462	0.112923	0.08134	0.805737	0.801716	0.0	0.506792	0.155857	0.095534	1.561131			
AR14	5317580396	5289733632		2967708472.0	1422599231.0	519929219.0	379496710.0	0.0	0.0	0.0	7816533.0	7725353.0	72393.0	0.502933	0.497067		0.561032	0.268936	0.09829	0.071742	0.829968	0.825621	0.0	0.506484	0.1494	0.103953	1.380427			
