libID,Animal,Genotype,Time,Expt
AR33,WT1,WT,0hr,1
AR34,WT2,WT,0hr,1
AR131,WT3,WT,0hr,2
AR132,WT4,WT,0hr,2
AR133,WT5,WT,0hr,2
AR134,WT6,WT,0hr,2
AR39,KO1,KO,0hr,1
AR40,KO2,KO,0hr,1
AR135,KO3,KO,0hr,2
AR136,KO4,KO,0hr,2
AR137,KO5,KO,0hr,2
AR138,KO6,KO,0hr,2
AR53,WT1,WT,24hr,1
AR54,WT2,WT,24hr,1
AR152,WT4,WT,24hr,2
AR153,WT5,WT,24hr,2
AR154,WT6,WT,24hr,2
AR59,KO1,KO,24hr,1
AR60,KO2,KO,24hr,1
AR156,KO4,KO,24hr,2
AR157,KO5,KO,24hr,2
AR158,KO6,KO,24hr,2
IL21,WT3,WT,24hr+antiIL2,2
IL22,WT4,WT,24hr+antiIL2,2
IL23,WT5,WT,24hr+antiIL2,2
IL24,WT6,WT,24hr+antiIL2,2
IL25,KO3,KO,24hr+antiIL2,2
IL26,KO4,KO,24hr+antiIL2,2
IL27,KO5,KO,24hr+antiIL2,2
IL28,KO6,KO,24hr+antiIL2,2
