row,row_within_cluster,cluster
Cyp46a1,1,cluster1
Syce1l,2,cluster1
Kcnk7,3,cluster1
Bad,4,cluster1
Rpl29,5,cluster1
Zfp821,6,cluster1
Cfap73,7,cluster1
Tmem169,8,cluster1
Nxnl2,9,cluster1
4930556J24Rik,10,cluster1
Dnttip1,11,cluster1
Tmem42,12,cluster1
Abl1,13,cluster1
Plekho2,14,cluster1
Brpf1,15,cluster1
Tmem131l,16,cluster1
Ubn1,17,cluster1
Flii,18,cluster1
Kat6b,19,cluster1
R3hdm2,20,cluster1
Nsmaf,21,cluster1
Nin,22,cluster1
Rnf125,23,cluster1
Zfp592,24,cluster1
Clk3,25,cluster1
Inpp5b,26,cluster1
Zc3hav1,27,cluster1
Mef2d,28,cluster1
Kdm4b,29,cluster1
Nrbp1,30,cluster1
Dusp10,31,cluster1
Zfp398,32,cluster1
Atg2a,33,cluster1
Vps11,34,cluster1
Rhog,35,cluster1
Plpp6,36,cluster1
Eef2,37,cluster1
Ski,38,cluster1
Arid5a,39,cluster1
Txk,40,cluster1
Aff1,41,cluster1
Fmnl1,42,cluster1
Sema4a,43,cluster1
Ezr,44,cluster1
Rpl35a,45,cluster1
Rpl12,46,cluster1
Rps24,47,cluster1
Rps19,48,cluster1
Pygm,49,cluster1
Vps37b,50,cluster1
Pde1b,51,cluster1
C2cd2l,52,cluster1
Fam76a,53,cluster1
Slc4a4,54,cluster1
Klrb1c,55,cluster1
Icam1,56,cluster1
Hlcs,57,cluster1
Tlr7,58,cluster1
Gm17545,59,cluster1
Apol7b,60,cluster1
Jmy,61,cluster1
Gbp7,62,cluster1
Rbm42,63,cluster1
Tap2,64,cluster1
Sf1,65,cluster1
Crebbp,66,cluster1
Stat5b,67,cluster1
Kbtbd11,68,cluster1
Slc25a36,69,cluster1
Rell1,70,cluster1
Zyx,71,cluster1
Pafah1b1,72,cluster1
Wasf2,73,cluster1
Itpr1,74,cluster1
Gpr155,75,cluster1
Snx2,76,cluster1
Rsrc2,77,cluster1
Epc2,78,cluster1
Alox5ap,79,cluster1
Gm49339,80,cluster1
Nrcam,81,cluster1
Cdh20,82,cluster1
Arpc5l,83,cluster1
H2-DMb1,84,cluster1
Vpreb3,1,cluster2
Gm17606,2,cluster2
Gm7030,3,cluster2
Lrrc63,1,cluster3
Pou5f2,2,cluster3
Tjap1,3,cluster3
Hdc,4,cluster3
Foxj1,5,cluster3
Adi1,6,cluster3
Mid1,7,cluster3
Padi3,8,cluster3
Mitf,9,cluster3
Eipr1,10,cluster3
Nsun3,11,cluster3
Pkhd1l1,12,cluster3
Car11,13,cluster3
Tctn3,14,cluster3
Slk,15,cluster3
Tsc1,16,cluster3
Pak1,17,cluster3
Dglucy,18,cluster3
Fra10ac1,19,cluster3
Lix1,20,cluster3
Fam177a,21,cluster3
Prkar1b,22,cluster3
Gm14288,23,cluster3
4932438H23Rik,1,cluster4
Tex2,2,cluster4
Slc2a1,3,cluster4
Exosc4,4,cluster4
Zmat3,5,cluster4
Srebf2,6,cluster4
Elavl1,7,cluster4
Extl2,8,cluster4
Ei24,9,cluster4
Mgat4e,10,cluster4
Trpm3,11,cluster4
Armh2,12,cluster4
Pla1a,13,cluster4
Ndufb4,14,cluster4
Dedd,15,cluster4
Agbl1,16,cluster4
Tarbp2,17,cluster4
Stub1,18,cluster4
Gfus,19,cluster4
Prelid3a,20,cluster4
Erfe,21,cluster4
Tfap4,22,cluster4
Hmgn3,23,cluster4
Mrps35,24,cluster4
Exosc5,25,cluster4
Fam183b,26,cluster4
Sowahc,27,cluster4
Gbp3,28,cluster4
Gbp4,29,cluster4
Ldhd,1,cluster5
Tmem231,2,cluster5
Rtl5,3,cluster5
Cfap300,4,cluster5
Tmem209,5,cluster5
Sulf2,6,cluster5
Oscar,7,cluster5
Gm10033,8,cluster5
Cpne7,9,cluster5
Zfp965,10,cluster5
ENSMUSG00000095250,11,cluster5
Foxc1,12,cluster5
Svip,13,cluster5
Fancd2os,14,cluster5
Sh2b3,15,cluster5
Rab40b,16,cluster5
Vmn2r26,17,cluster5
Tm4sf5,18,cluster5
1700019A02Rik,19,cluster5
5730480H06Rik,1,cluster6
Etfrf1,2,cluster6
Tst,3,cluster6
Ubxn2b,4,cluster6
Rfx8,5,cluster6
Rnf151,6,cluster6
Smim6,7,cluster6
Slc15a1,8,cluster6
Ankrd35,9,cluster6
Camkv,1,cluster7
Aldoa,2,cluster7
Khdrbs3,3,cluster7
4933430I17Rik,4,cluster7
Erf,5,cluster7
Pycr2,6,cluster7
Irag2,7,cluster7
Ctc1,8,cluster7
Gcnt1,9,cluster7
Hps4,10,cluster7
Gm10801,11,cluster7
Exoc4,12,cluster7
Semp2l1,13,cluster7
Calcr,14,cluster7
Olfr1178,15,cluster7
Pafah2,16,cluster7
Gm10800,17,cluster7
Eva1c,18,cluster7
Fign,19,cluster7
Arpc3,20,cluster7
Dap3,21,cluster7
Timm21,22,cluster7
Wdr73,23,cluster7
Wdr31,24,cluster7
Fto,25,cluster7
Gna12,26,cluster7
Gtf2h3,27,cluster7
Cdt1,28,cluster7
Brf2,29,cluster7
Prss36,30,cluster7
Nubp2,31,cluster7
Nudcd2,32,cluster7
Tomm5,33,cluster7
Zcchc17,34,cluster7
Atxn10,35,cluster7
Cops7a,36,cluster7
Zfp930,37,cluster7
Sfr1,38,cluster7
Cdc123,39,cluster7
Faf1,40,cluster7
Noa1,41,cluster7
Rpp40,42,cluster7
Btbd9,43,cluster7
Rpp38,44,cluster7
H3c10,45,cluster7
Snx25,46,cluster7
Mars1,47,cluster7
D630045J12Rik,48,cluster7
Ak3,49,cluster7
Asb16,50,cluster7
Cnr1,51,cluster7
Setd1a,52,cluster7
Focad,53,cluster7
Bap1,54,cluster7
4930503L19Rik,55,cluster7
Epha4,56,cluster7
Ccdc184,57,cluster7
Lrrtm1,58,cluster7
