group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,225,C5,GO:BP,15653,174,GOBP_REGULATION_OF_MODIFICATION_OF_SYNAPTIC_STRUCTURE,10,3,0.3,1.5297403972514237e-4,0.24835457358422866,0.2379852967068511,"c(""Camkv"", ""Epha4"", ""Abl1"")"
int,225,C5,GO:BP,15653,174,GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT,13,3,0.23076923076923078,3.5573364842415167e-4,0.24835457358422866,0.2379852967068511,"c(""Eipr1"", ""Vps11"", ""Ezr"")"
int,225,C5,GO:BP,15653,174,GOBP_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,15,3,0.2,5.567510849750349e-4,0.24835457358422866,0.2379852967068511,"c(""Setd1a"", ""Foxc1"", ""Abl1"")"
int,225,C5,GO:BP,15653,174,GOBP_RRNA_METABOLIC_PROCESS,256,10,0.0390625,5.925657061292088e-4,0.24835457358422866,0.2379852967068511,"c(""Exosc5"", ""Rpp40"", ""Nsun3"", ""Rpp38"", ""Mars1"", ""Exosc4"", ""Dedd"", ""Rpl35a"", ""Rps19"", ""Rps24"")"
int,225,C5,GO:BP,15653,174,GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,36,4,0.1111111111111111,6.581834988981326e-4,0.24835457358422866,0.2379852967068511,"c(""Wasf2"", ""Arpc3"", ""Jmy"", ""Arpc5l"")"
int,225,C5,GO:BP,15653,174,GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,36,4,0.1111111111111111,6.581834988981326e-4,0.24835457358422866,0.2379852967068511,"c(""Hps4"", ""Bap1"", ""Srebf2"", ""Vps11"")"
int,225,C5,GO:BP,15653,174,GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,100,6,0.06,8.705312706781132e-4,0.2815546852593212,0.2697992404312168,"c(""Tomm5"", ""Timm21"", ""Hps4"", ""Bap1"", ""Srebf2"", ""Vps11"")"
int,225,C5,GO:BP,15653,174,GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE,20,3,0.15,0.0013391020748383241,0.37896588717924573,0.3631433389791824,"c(""Camkv"", ""Epha4"", ""Abl1"")"
int,225,C5,GO:BP,15653,174,GOBP_AXONAL_FASCICULATION,22,3,0.13636363636363635,0.001779697547190614,0.3978541138016094,0.3812429461340511,"c(""Nrcam"", ""Epha4"", ""Cnr1"")"
int,225,C5,GO:BP,15653,174,GOBP_AMMONIUM_ION_METABOLIC_PROCESS,23,3,0.13043478260869565,0.0020300426690784057,0.3978541138016094,0.3812429461340511,"c(""Pde1b"", ""Hdc"", ""Btbd9"")"
