group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,225,H,,4394,56,HALLMARK_MITOTIC_SPINDLE,199,7,0.035175879396984924,0.012375003247234909,0.4455001169004567,0.4428948530589336,"c(""Mid1"", ""Wasf2"", ""Pafah1b1"", ""Nin"", ""Abl1"", ""Tsc1"", ""Ezr"")"
int,225,H,,4394,56,HALLMARK_DNA_REPAIR,150,5,0.03333333333333333,0.04099089424368538,0.7378360963863368,0.7335212654133174,"c(""Gtf2h3"", ""Ak3"", ""Brf2"", ""Vps37b"", ""Tarbp2"")"
int,225,H,,4394,56,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,5,0.025,0.10944033994076255,0.7855192362263449,0.7809255564823311,"c(""Slc2a1"", ""Calcr"", ""Foxc1"", ""Aff1"", ""Kdm4b"")"
int,225,H,,4394,56,HALLMARK_ALLOGRAFT_REJECTION,201,5,0.024875621890547265,0.11118172434378704,0.7855192362263449,0.7809255564823311,"c(""H2-DMb1"", ""Gcnt1"", ""Tap2"", ""Icam1"", ""Rps19"")"
int,225,H,,4394,56,HALLMARK_ESTROGEN_RESPONSE_LATE,206,5,0.024271844660194174,0.12009334229759154,0.7855192362263449,0.7809255564823311,"c(""Calcr"", ""Tst"", ""Foxc1"", ""Aff1"", ""Gfus"")"
int,225,H,,4394,56,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,3,0.02654867256637168,0.17352956364689767,0.7855192362263449,0.7809255564823311,"c(""Exosc5"", ""Exosc4"", ""Eef2"")"
int,225,H,,4394,56,HALLMARK_APICAL_JUNCTION,199,4,0.020100502512562814,0.24708070268226734,0.7855192362263449,0.7809255564823311,"c(""Exoc4"", ""Icam1"", ""Tsc1"", ""Zyx"")"
int,225,H,,4394,56,HALLMARK_UV_RESPONSE_UP,159,3,0.018867924528301886,0.3305506034547123,0.7855192362263449,0.7809255564823311,"c(""Aldoa"", ""Tst"", ""Icam1"")"
int,225,H,,4394,56,HALLMARK_APOPTOSIS,161,3,0.018633540372670808,0.3376227144067516,0.7855192362263449,0.7809255564823311,"c(""Dap3"", ""Pak1"", ""Crebbp"")"
int,225,H,,4394,56,HALLMARK_HEDGEHOG_SIGNALING,36,1,0.027777777777777776,0.37099570508797275,0.7855192362263449,0.7809255564823311,Nrcam
int,225,H,,4394,56,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,2,0.01904761904761905,0.38879152531344197,0.7855192362263449,0.7809255564823311,"c(""Slc2a1"", ""Arpc3"")"
int,225,H,,4394,56,HALLMARK_APICAL_SURFACE,44,1,0.022727272727272728,0.43286991305809475,0.7855192362263449,0.7809255564823311,Sulf2
int,225,H,,4394,56,HALLMARK_COMPLEMENT,196,3,0.015306122448979591,0.4593337648124759,0.7855192362263449,0.7809255564823311,"c(""Prss36"", ""Sh2b3"", ""Rhog"")"
int,225,H,,4394,56,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,1,0.02040816326530612,0.46846291038926824,0.7855192362263449,0.7809255564823311,Ndufb4
int,225,H,,4394,56,HALLMARK_P53_PATHWAY,199,3,0.01507537688442211,0.46941467330244924,0.7855192362263449,0.7809255564823311,"c(""Irag2"", ""Zmat3"", ""Ei24"")"
int,225,H,,4394,56,HALLMARK_ADIPOGENESIS,200,3,0.015,0.4727576933576595,0.7855192362263449,0.7809255564823311,"c(""Sowahc"", ""Aldoa"", ""Tst"")"
