group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,H,,4394,565,HALLMARK_MYC_TARGETS_V1,201,64,0.31840796019900497,4.754316940134915e-13,2.3771584700674572e-11,2.051863100479279e-11,"c(""Hnrnpd"", ""Cbx3"", ""Ppm1g"", ""Eif4h"", ""Pcbp1"", ""Srsf1"", ""Srsf2"", ""Pa2g4"", ""Pabpc4"", ""Etf1"", ""Phb2"", ""Nop16"", ""C1qbp"", ""Hdgf"", ""Psmd7"", ""Hspd1"", ""Ruvbl2"", ""Ldha"", ""Myc"", ""Rnps1"", ""Cdc20"", ""Eif4e"", ""Eif3b"", ""Ran"", ""Srm"", ""Cct7"", ""Eif4a1"", ""Iars"", ""Rsl1d1"", ""Smarcc1"", ""Impdh2"", ""Rad23b"", ""Hnrnpu"", ""Kpnb1"", ""Ddx21"", ""Eprs"", ""Mcm2"", ""Nolc1"", ""Cad"", ""G3bp1"", ""Got2"", ""Eif3j2"", ""U2af1"", ""Prpf31"", ""Psma2"", ""Cyc1"", ""Rrp9"", ""Psma7"", ""Eif3j1"", ""Ddx18"", ""Serbp1"", ""Psmc4"", ""Erh"", ""Tufm"", ""Eif2s1"", ""Tcp1"", ""Xpot"", 
""Apex1"", ""Xrcc6"", ""Hnrnpa3"", ""Snrpd3"", ""Hnrnpa1"", ""Tra2b"", ""Gnl3"")"
int,1553,H,,4394,565,HALLMARK_MYC_TARGETS_V2,58,28,0.4827586206896552,4.115841068890633e-11,1.0289602672226583e-9,8.881551780237682e-10,"c(""Cbx3"", ""Noc4l"", ""Pa2g4"", ""Nop16"", ""Hspd1"", ""Dctpp1"", ""Mrto4"", ""Myc"", ""Plk1"", ""Srm"", ""Hk2"", ""Ung"", ""Grwd1"", ""Rrp12"", ""Mybbp1a"", ""Nolc1"", ""Wdr43"", ""Pus1"", ""Pes1"", ""Wdr74"", ""Bysl"", ""Rrp9"", ""Imp4"", ""Ddx18"", ""Nop2"", ""Ppan"", ""Utp20"", ""Gnl3"")"
int,1553,H,,4394,565,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,37,0.3274336283185841,2.262124693482449e-8,3.770207822470749e-7,3.254284646764225e-7,"c(""Kif5b"", ""Tatdn2"", ""Fus"", ""Lsm4"", ""Eif4a2"", ""Exoc2"", ""Dcp1a"", ""Exosc4"", ""Atf3"", ""Khsrp"", ""Hsp90b1"", ""Slc7a5"", ""Eif4a3"", ""Pdia6"", ""Lsm1"", ""Hyou1"", ""Eif4e"", ""Mthfd2"", ""Eif4a1"", ""Iars"", ""Nolc1"", ""Srpr"", ""Ero1a"", ""Nabp1"", ""Eif4ebp1"", ""Tars"", ""Rrp9"", ""Chac1"", ""Dkc1"", ""Hspa9"", ""Eif2s1"", ""Xpot"", ""Psat1"", ""Pop4"", ""Mtrex"", ""Atf6"", ""Eif4g1"")"
int,1553,H,,4394,565,HALLMARK_G2M_CHECKPOINT,198,53,0.2676767676767677,5.535937237402974e-8,6.919921546753717e-7,5.972984914040051e-7,"c(""Kif5b"", ""Odf2"", ""Tnpo2"", ""Ewsr1"", ""Cdc25b"", ""Smc4"", ""Hnrnpd"", ""Hmga1"", ""Kmt5a"", ""Hif1a"", ""Slc7a5"", ""Srsf1"", ""E2f3"", ""Srsf2"", ""Ncl"", ""Myc"", ""Espl1"", ""Chaf1a"", ""Cdc20"", ""Ube2c"", ""Plk1"", ""Dbf4"", ""Slc7a1"", ""Amd1"", ""Tpx2"", ""Aurkb"", ""Ccnf"", ""Rpa2"", ""Nsd2"", ""Nasp"", ""Lmnb1"", ""Smarcc1"", ""Ezh2"", ""Rad23b"", ""Hnrnpu"", ""Cdc25a"", ""Kpnb1"", ""Mcm2"", ""Nolc1"", ""Ilf3"", ""Brca2"", ""Uck2"", ""G3bp1"", ""Pura"", ""Tmpo"", ""Prmt5"", ""Dkc1"", ""Hspa8"", ""Sap30"", ""Tra2b"", ""Lig3"", ""Polq"", ""Nup98"")"
int,1553,H,,4394,565,HALLMARK_MTORC1_SIGNALING,201,52,0.25870646766169153,2.478504123630272e-7,2.478504123630272e-6,2.1393404014492874e-6,"c(""Scd2"", ""Sytl2"", ""Add3"", ""Slc37a4"", ""Ctsc"", ""Bcat1"", ""Eno1"", ""Fkbp2"", ""Slc2a1"", ""Hsp90b1"", ""Rpn1"", ""Slc7a5"", ""Tpi1"", ""Etf1"", ""Shmt2"", ""Tomm40"", ""Map2k3"", ""Hspd1"", ""Eef1e1"", ""Ldha"", ""Bhlhe40"", ""Plk1"", ""Ldlr"", ""Stip1"", ""Uchl5"", ""Psme3"", ""Cth"", ""Mthfd2"", ""Sdf2l1"", ""Phgdh"", ""Ccnf"", ""Hk2"", ""Hmgcr"", ""Pfkl"", ""Ung"", ""Tfrc"", ""Atp2a2"", ""Cdc25a"", ""Eprs"", ""Mcm2"", ""Slc6a6"", ""Ero1a"", ""Rrp9"", ""Pdap1"", ""Psmc4"", ""Cacybp"", ""Cct6a"", ""Hspa9"", ""Psat1"", ""Got1"", ""Acaca"", ""Acly"")"
int,1553,H,,4394,565,HALLMARK_E2F_TARGETS,200,51,0.255,5.299959090251156e-7,4.416632575209297e-6,3.812251275443814e-6,"c(""Pnn"", ""Cdc25b"", ""Smc4"", ""Luc7l3"", ""Hnrnpd"", ""Naa38"", ""Hmga1"", ""Prps1"", ""Srsf1"", ""Srsf2"", ""Pa2g4"", ""Shmt1"", ""Dctpp1"", ""Trip13"", ""Myc"", ""Espl1"", ""Wee1"", ""Spc24"", ""Ube2t"", ""Cdc20"", ""Plk1"", ""Kif18b"", ""Dclre1b"", ""Ran"", ""Mthfd2"", ""Aurkb"", ""Rpa2"", ""Cse1l"", ""Paics"", ""Nasp"", ""Ung"", ""Lmnb1"", ""Tfrc"", ""Diaph3"", ""Ezh2"", ""Cdc25a"", ""Mcm2"", ""Nolc1"", ""Ilf3"", ""Brca2"", ""Ipo7"", ""Nup107"", ""Cnot9"", ""Ak2"", ""Tmpo"", ""Lyar"", ""Eif2s1"", ""Xrcc6"", ""Snrpb"", ""Tra2b"", ""Ppp1r8"")"
int,1553,H,,4394,565,HALLMARK_IL2_STAT5_SIGNALING,199,48,0.24120603015075376,6.370228248935647e-6,4.550163034954034e-5,3.9275091459603236e-5,"c(""Itih5"", ""F2rl2"", ""Il4ra"", ""Bcl2"", ""Ccnd3"", ""Tgm2"", ""Igf2r"", ""Fah"", ""Smpdl3a"", ""Rhoh"", ""P2rx4"", ""Rhob"", ""Pim1"", ""Cdc42se2"", ""Lif"", ""Eomes"", ""Drc1"", ""Irf6"", ""Igf1r"", ""Traf1"", ""Socs2"", ""Cish"", ""Ccr4"", ""Ccnd2"", ""Gpr83"", ""Il2rb"", ""Icos"", ""Tnfrsf9"", ""Irf4"", ""Bhlhe40"", ""Myc"", ""Tnfrsf21"", ""Bcl2l1"", ""Irf8"", ""Ikzf4"", ""Tnfrsf18"", ""Tnfrsf8"", ""Ahcy"", ""Hk2"", ""Plscr1"", ""Il2ra"", ""Uck2"", ""Pus1"", ""St3gal4"", ""Nop2"", ""Umps"", ""Map6"", ""Plagl1"")"
int,1553,H,,4394,565,HALLMARK_ALLOGRAFT_REJECTION,201,40,0.19900497512437812,0.0025921525636715455,0.01620095352294716,0.013983980935596494,"c(""Itgal"", ""Thy1"", ""Il4ra"", ""Itk"", ""Ccnd3"", ""Icam1"", ""Fyb"", ""Abi1"", ""Zap70"", ""Ube2d1"", ""Cd3e"", ""Cd96"", ""Cd8b1"", ""H2-Ob"", ""Cd1d1"", ""Cd3g"", ""Klrd1"", ""B2m"", ""Trat1"", ""St8sia4"", ""Lif"", ""Bcat1"", ""Ifng"", ""Ccnd2"", ""Hif1a"", ""Gzmb"", ""Il2rb"", ""Il12rb1"", ""Eif5a"", ""Irf4"", ""Ccl4"", ""Irf8"", ""Il2ra"", ""Eif3j2"", ""Eif3j1"", ""Cxcr3"", ""Prf1"", ""Glmn"", ""Eif3a"", ""Akt1"")"
int,1553,H,,4394,565,HALLMARK_UV_RESPONSE_UP,159,29,0.18238993710691823,0.03006363846494721,0.16702021369415115,0.144164816030741,"c(""Cyb5r1"", ""Ccnd3"", ""Icam1"", ""Grina"", ""Junb"", ""Sult1a1"", ""Ephx1"", ""Rasgrp1"", ""Rhob"", ""Tmbim6"", ""Cltb"", ""Rab27a"", ""Urod"", ""Sod2"", ""Ago2"", ""Atf3"", ""Rpn1"", ""Stip1"", ""Amd1"", ""Tfrc"", ""Hnrnpu"", ""Ddx21"", ""Eif2s3x"", ""Fen1"", ""Tars"", ""Prpf3"", ""Sigmar1"", ""Pdap1"", ""Ppat"")"
int,1553,H,,4394,565,HALLMARK_DNA_REPAIR,150,26,0.17333333333333334,0.06566106462581282,0.32830532312906413,0.28337933154298167,"c(""Rae1"", ""Usp11"", ""Ercc5"", ""Pde4b"", ""Dguok"", ""Tk2"", ""Sdcbp"", ""Vps28"", ""Supt4a"", ""Sec61a1"", ""Nudt9"", ""Rpa2"", ""Pola1"", ""Zwint"", ""Rfc5"", ""Impdh2"", ""Ddb1"", ""Pom121"", ""Polr1d"", ""Fen1"", ""Aaas"", ""Gtf3c5"", ""Umps"", ""Mrpl40"", ""Dgcr8"", ""Mpc2"")"
