"","ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position"
"1","ENSMUSG00000064341",17716,"mt-Nd1","protein_coding","MT",2751,3707
"2","ENSMUSG00000064345",17717,"mt-Nd2","protein_coding","MT",3914,4951
"3","ENSMUSG00000064351",17708,"mt-Co1","protein_coding","MT",5328,6872
"4","ENSMUSG00000064354",17709,"mt-Co2","protein_coding","MT",7013,7696
"5","ENSMUSG00000064356",17706,"mt-Atp8","protein_coding","MT",7766,7969
"6","ENSMUSG00000064357",17705,"mt-Atp6","protein_coding","MT",7927,8607
"7","ENSMUSG00000064358",17710,"mt-Co3","protein_coding","MT",8607,9390
"8","ENSMUSG00000064360",17718,"mt-Nd3","protein_coding","MT",9459,9806
"9","ENSMUSG00000065947",17720,"mt-Nd4l","protein_coding","MT",9877,10173
"10","ENSMUSG00000064363",17719,"mt-Nd4","protein_coding","MT",10167,11544
"11","ENSMUSG00000064367",17721,"mt-Nd5","protein_coding","MT",11742,13565
"12","ENSMUSG00000064368",17722,"mt-Nd6","protein_coding","MT",13552,14070
"13","ENSMUSG00000064370",17711,"mt-Cytb","protein_coding","MT",14145,15288
"14","ENSMUSG00000095742",NA,"","protein_coding","JH584295.1",66,1479
"15","ENSMUSG00000095019",NA,"","protein_coding","JH584303.1",81607,82689
"16","ENSMUSG00000095041",NA,"","protein_coding","JH584304.1",52190,59690
"17","ENSMUSG00000095666",100862115,"","protein_coding","JH584296.1",41338,44417
"18","ENSMUSG00000094303",108168681,"","protein_coding","JH584297.1",19740,22248
"19","ENSMUSG00000094915",671917,"","protein_coding","GL456212.1",31967,34932
"20","ENSMUSG00000094836",100861655,"","protein_coding","JH584299.1",4975,7356
"21","ENSMUSG00000096776",100039479,"","protein_coding","GL456219.1",94186,95088
"22","ENSMUSG00000094722",100862245,"","protein_coding","JH584298.1",90528,93623
"23","ENSMUSG00000095250",118568473,"","protein_coding","GL456211.1",30483,32396
"24","ENSMUSG00000079800",NA,"","protein_coding","GL456210.1",9124,58882
"25","ENSMUSG00000096244",100039499,"","protein_coding","GL456219.1",149261,150163
"26","ENSMUSG00000079808",102638047,"","protein_coding","GL456212.1",128555,150452
"27","ENSMUSG00000095787",NA,"","protein_coding","GL456211.1",54469,54840
"28","ENSMUSG00000095092",NA,"","protein_coding","GL456210.1",108390,110303
"29","ENSMUSG00000096236",100862192,"","protein_coding","JH584297.1",31101,33667
"30","ENSMUSG00000096680",102634529,"","protein_coding","JH584296.1",130715,133448
"31","ENSMUSG00000096100",NA,"","protein_coding","GL456211.1",66955,67326
"32","ENSMUSG00000094383",108168683,"","protein_coding","JH584299.1",90482,93220
"33","ENSMUSG00000094383",108168684,"","protein_coding","JH584299.1",90482,93220
"34","ENSMUSG00000094383",108169098,"","protein_coding","JH584299.1",90482,93220
"35","ENSMUSG00000094383",108169101,"","protein_coding","JH584299.1",90482,93220
"36","ENSMUSG00000079192",NA,"","protein_coding","GL456210.1",123792,124928
"37","ENSMUSG00000095728",NA,"","protein_coding","JH584298.1",168268,170838
"38","ENSMUSG00000096756",100862202,"","protein_coding","JH584297.1",108318,111392
"39","ENSMUSG00000095505",NA,"","protein_coding","JH584296.1",195181,197903
"40","ENSMUSG00000079794",NA,"","protein_coding","GL456210.1",135395,136519
"41","ENSMUSG00000095672",NA,"","protein_coding","GL456211.1",160465,162404
"42","ENSMUSG00000095076",NA,"","protein_coding","JH584298.1",179693,182203
"43","ENSMUSG00000079190",100041057,"","protein_coding","GL456211.1",167446,196478
"44","ENSMUSG00000094799",105242404,"","protein_coding","GL456210.1",147792,149707
"45","ENSMUSG00000094474",100041712,"","protein_coding","JH584299.1",173050,176134
"46","ENSMUSG00000094514",102636558,"","protein_coding","GL456211.1",226405,229375
"47","ENSMUSG00000094791",NA,"","protein_coding","JH584299.1",314841,317584
"48","ENSMUSG00000096550",545762,"","protein_coding","JH584299.1",477246,480331
"49","ENSMUSG00000094172",620551,"","protein_coding","JH584299.1",562161,564894
"50","ENSMUSG00000094887",100041806,"","protein_coding","JH584299.1",587624,625594
"51","ENSMUSG00000091585",108168685,"","protein_coding","JH584299.1",716296,720517
